0.3324	 0 	0
0.3344	 0 	535
0.3332	 0 	2576
0.3324	 1 	1
0.3347	 1 	1260
0.3329	 1 	2576
0.2979	 2 	2
0.2984	 2 	7
0.4037	 2 	735
0.2972	 3 	3
0.3414	 3 	1191
0.3614	 3 	1380
0.3340	 4 	4
0.3331	 4 	7
0.3329	 4 	1871
0.3332	 5 	5
0.3334	 5 	6
0.3334	 5 	7
0.3333	 6 	5
0.3336	 6 	6
0.3330	 6 	2292
0.2496	 7 	2
0.2506	 7 	4
0.2498	 7 	5
0.2500	 7 	7
0.3321	 8 	8
0.3339	 8 	78
0.3341	 8 	352
0.3308	 9 	9
0.3340	 9 	68
0.3352	 9 	1003
0.3334	 10 	10
0.3341	 10 	707
0.3324	 10 	929
0.3331	 11 	11
0.3342	 11 	447
0.3327	 11 	785
0.3335	 12 	12
0.3335	 12 	242
0.3330	 12 	1265
0.3342	 13 	13
0.3327	 13 	14
0.3332	 13 	981
0.3268	 14 	13
0.3253	 14 	14
0.3479	 14 	219
0.3344	 15 	15
0.3332	 15 	1247
0.3323	 15 	1273
0.3323	 16 	16
0.3331	 16 	200
0.3346	 16 	1275
0.3330	 17 	17
0.3347	 17 	1232
0.3324	 17 	2298
0.3340	 18 	18
0.3337	 18 	1102
0.3323	 18 	1233
0.3340	 19 	19
0.3331	 19 	713
0.3328	 19 	2652
0.3333	 20 	20
0.3334	 20 	86
0.3333	 20 	1279
0.3337	 21 	21
0.3329	 21 	25
0.3334	 21 	1280
0.3325	 22 	22
0.3329	 22 	88
0.3346	 22 	962
0.3338	 23 	23
0.3323	 23 	89
0.3338	 23 	1281
0.3332	 24 	24
0.3337	 24 	25
0.3332	 24 	1282
0.2508	 25 	21
0.2499	 25 	24
0.2502	 25 	25
0.2490	 25 	1283
0.3321	 26 	26
0.3322	 26 	493
0.3357	 26 	1126
0.3334	 27 	27
0.3329	 27 	28
0.3337	 27 	2357
0.3334	 28 	27
0.3329	 28 	28
0.3337	 28 	2357
0.3331	 29 	29
0.3322	 29 	30
0.3347	 29 	31
0.3331	 30 	29
0.3322	 30 	30
0.3347	 30 	31
0.3331	 31 	29
0.3322	 31 	30
0.3347	 31 	31
0.3318	 32 	32
0.3331	 32 	853
0.3351	 32 	1275
0.3327	 33 	33
0.3346	 33 	1213
0.3327	 33 	1276
0.3330	 34 	34
0.3335	 34 	632
0.3335	 34 	1040
0.3337	 35 	35
0.3336	 35 	633
0.3328	 35 	764
0.4998	 36 	36
0.5002	 36 	727
0.4994	 37 	37
0.5006	 37 	215
0.3323	 38 	38
0.3354	 38 	68
0.3322	 38 	158
0.4965	 39 	39
0.5035	 39 	1126
0.3348	 40 	40
0.3312	 40 	43
0.3340	 40 	2322
0.3022	 41 	41
0.3030	 41 	42
0.3949	 41 	2600
0.2485	 42 	41
0.2492	 42 	42
0.2511	 42 	2322
0.2512	 42 	2600
0.4075	 43 	40
0.2772	 43 	43
0.3153	 43 	2322
0.3331	 44 	44
0.3330	 44 	45
0.3339	 44 	1544
0.3330	 45 	44
0.3329	 45 	45
0.3341	 45 	2072
0.3322	 46 	46
0.3339	 46 	50
0.3338	 46 	1476
0.2750	 47 	47
0.3776	 47 	1476
0.3474	 47 	2234
0.3325	 48 	48
0.3339	 48 	1476
0.3336	 48 	2234
0.3332	 49 	49
0.3336	 49 	1774
0.3332	 49 	2430
0.3323	 50 	46
0.3340	 50 	50
0.3337	 50 	2234
0.4801	 51 	51
0.5199	 51 	1476
0.3336	 52 	52
0.3318	 52 	144
0.3346	 52 	1164
0.3331	 53 	53
0.3338	 53 	54
0.3331	 53 	146
0.4995	 54 	53
0.5005	 54 	54
0.3321	 55 	55
0.3342	 55 	1178
0.3338	 55 	1240
0.3327	 56 	56
0.3327	 56 	644
0.3346	 56 	1241
0.3339	 57 	57
0.3330	 57 	734
0.3331	 57 	773
0.3337	 58 	58
0.3328	 58 	774
0.3335	 58 	833
0.3324	 59 	59
0.3330	 59 	173
0.3346	 59 	1157
0.4992	 60 	60
0.5008	 60 	176
0.3340	 61 	61
0.3323	 61 	354
0.3337	 61 	2086
0.3340	 62 	62
0.3338	 62 	1526
0.3323	 62 	1627
0.3336	 63 	63
0.3340	 63 	678
0.3324	 63 	1729
0.3331	 64 	64
0.3334	 64 	65
0.3335	 64 	708
0.3327	 65 	64
0.3330	 65 	65
0.3342	 65 	709
0.3332	 66 	66
0.3339	 66 	381
0.3329	 66 	2435
0.3335	 67 	67
0.3339	 67 	362
0.3326	 67 	1249
0.1986	 68 	9
0.1986	 68 	38
0.2004	 68 	68
0.2012	 68 	635
0.2012	 68 	1003
0.3324	 69 	69
0.3331	 69 	72
0.3345	 69 	857
0.3323	 70 	70
0.3329	 70 	122
0.3349	 70 	1117
0.3337	 71 	71
0.3334	 71 	110
0.3329	 71 	124
0.3313	 72 	69
0.3320	 72 	72
0.3368	 72 	859
0.3164	 73 	73
0.3575	 73 	437
0.3261	 73 	1086
0.3317	 74 	74
0.3334	 74 	76
0.3349	 74 	573
